84,"C'Geb1951'MtrC07'Fl","Durchfluss"
85,"C'Geb1951'MtrC07'Pwr","Leistung"
86,"C'Geb1951'MtrC07'TFl","Vorlauftemperatur"
87,"C'Geb1951'MtrC07'TRt","Rücklauftemperatur"
88,"C'Geb1951'MtrC204'Fl","Durchfluss"
89,"C'Geb1951'MtrC204'Pwr","Leistung"
90,"C'Geb1951'MtrC204'TFl","Vorlauftemperatur"
91,"C'Geb1951'MtrC204'TRt","Rücklauftemperatur"
92,"C'Geb1951'MtrC205'Fl","Durchfluss"
93,"C'Geb1951'MtrC205'Pwr","Leistung"
94,"C'Geb1951'MtrC205'TFl","Vorlauftemperatur"
95,"C'Geb1951'MtrC205'TRt","Rücklauftemperatur"
96,"C'Geb1951'TOa","Aussentemperatur"
97,"C'Geb1953'MtrC004'Fl","Durchfluss"
98,"C'Geb1953'MtrC004'Pwr","Leistung"
99,"C'Geb1953'MtrC004'TFl","Vorlauftemperatur"
100,"C'Geb1953'MtrC004'TRt","Rücklauftemperatur"
101,"C'Geb1953'MtrC005'Fl","Durchfluss"
102,"C'Geb1953'MtrC005'Pwr","Leistung"
103,"C'Geb1953'MtrC005'TFl","Vorlauftemperatur"
104,"C'Geb1953'MtrC005'TRt","Rücklauftemperatur"
105,"C'Geb1953'MtrC006'Fl","Durchfluss"
106,"C'Geb1953'MtrC006'Pwr","Leistung"
107,"C'Geb1953'MtrC006'TFl","Vorlauftemperatur"
108,"C'Geb1953'MtrC006'TRt","Rücklauftemperatur"
109,"C'Geb1953'MtrC013'Fl","Durchfluss"
110,"C'Geb1953'MtrC013'Pwr","Leistung"
111,"C'Geb1953'MtrC013'TFl","Vorlauftemperatur"
112,"C'Geb1953'MtrC013'TRt","Rücklauftemperatur"
113,"C'Geb1953'MtrC207'Fl","Durchfluss"
114,"C'Geb1953'MtrC207'Pwr","Leistung"
115,"C'Geb1953'MtrC207'TFl","Vorlauftemperatur"
116,"C'Geb1953'MtrC207'TRt","Rücklauftemperatur"
117,"C'Geb1958'MtrC001'Fl","Durchfluss"
118,"C'Geb1958'MtrC001'Pwr","Leistung"
119,"C'Geb1958'MtrC001'TFl","Vorlauftemperatur"
120,"C'Geb1958'MtrC001'TRt","Rücklauftemperatur"
121,"C'Geb1958'MtrC002'Fl","Durchfluss"
122,"C'Geb1958'MtrC002'Pwr","Leistung"
123,"C'Geb1958'MtrC002'TFl","Vorlauftemperatur"
124,"C'Geb1958'MtrC002'TRt","Rücklauftemperatur"
125,"C'Geb1958'MtrC012'Fl","Durchfluss"
126,"C'Geb1958'MtrC012'Pwr","Leistung"
